nazwa;long;lat;ocena;ilosc_recenzji;adres
Pizzeria Si;17.0298801;51.0999475;4.7;538.0;Wojciecha Bogus?wskiego 89, 50-031 Wroc?w
Pizzeria  Taormina;17.012330399999996;51.0829487;4.0;191.0;Januszowicka 11, 11-400 Wroc?w
Confectionery Krzycka Sikorscy;17.0104247;51.0818661;4.6;70.0;Sokola 52, 11-400 Wroc?w
Agawa;17.009404800000002;51.075156400000004;3.9;296.0;Andrzeja Walig??iego 1, 53-141 Wroc?w
Antresola by nigdy nie zapomne;17.012849499999998;51.0582335;4.5;137.0;Zwyci?a 14f, 53-033 Wroc?w
Pepe Ristorante;17.0188469;51.0579284;4.3;325.0;Bart?mieja Strachowskiego 12, 52-210 Wroc?w
Stodo?;17.020032399999998;51.0572718;4.1;146.0;52-210, Bart?mieja Strachowskiego 31, 50-001 Wroc?w
Gospoda O?aszy??;17.0217618;51.056433899999995;4.1;21.0;Kutrzeby 3, 52-007 Wroc?w
Wo?wina;17.0239102;51.05661;4.1;112.0;Bart?mieja Strachowskiego 7a, 50-001 Wroc?w
Kiss The Cook;17.0330907;51.0718212;4.4;248.0;Borowska 266, 11-400 Wroc?w
Pinola;17.042473100000002;51.0762779;4.5;222.0;?ieradowska 51/57, 50-559 Wroc?w
Osiem Misek;17.035567800000003;51.0844411;4.7;557.0;Borowska 116, 50-552 Wroc?w
Siesta Trattoria;17.037512399999997;51.085313;4.6;755.0;?iczna 22A/5, 11-400 Wroc?w
Great House;17.0357609;51.0853913;4.1;193.0;Borowska 102/104, 11-400 Wroc?w
Center Pizza;17.0379844;51.085179100000005;2.4;136.0;?iczna 22a/8, 50-566 Wroc?w
Party Pizza;17.0405889;51.0867114;3.6;72.0;Wieczysta 113C, 50-550 Wroc?w
Pizza Hut;17.0457843;51.0855093;3.2;120.0;Kamienna 145, 50-001 Wroc?w
Pizza Station;17.0455536;51.0833737;3.8;85.0;Widna 6, 50-996 Wroc?w
Pizzeria Stopiatka;17.0382366;51.083666;4.1;34.0;aleja Armii Krajowej 8B, 50-541 Wroc?w
Pizzeria Taormina;17.0374654;51.090736299999996;3.4;182.0;?dzka 25, 50-001 Wroc?w
Pizza Express Gyros & Kebab;17.034115300000003;51.091554200000004;3.8;209.0;Weso? 2/1a, 50-535 Wroc?w
Luxor Kebab;17.0340362;51.091792100000006;3.6;163.0;Borowska 44, 50-557 Wroc?w
Express Oriental;17.033665399999997;51.0958165;3.8;15.0;CH Wroclavia, Sucha 1, 50-086 Wroc?w
Izumi Sushi;17.0340436;51.0959997;3.4;25.0;Wroclaw
Pasibus;17.0337861;51.096233399999996;4.5;63.0;Wroclaw
Ekspress Kuchnia Marche;17.0335715;51.0966924;0.0;0.0;Po?dnie, 50-001, 11-400 Wroc?w
KFC;17.0335729;51.0969704;3.1;14.0;Sucha 2, 50-086 Wroc?w
Food Republik;17.0338773;51.096948499999996;3.2;16.0;CH Wroclavia, Sucha 1, 50-086 Wroc?w
Doner Kebab;17.0344667;51.096570299999996;1.5;13.0;CH Wroclavia, Sucha 1, 50-086 Wroc?w
McDonalds;17.0362115;51.098883799999996;3.8;246.0;Pi?udskiego 105, 50-085 Wroc?w
KFC;17.036995;51.098789000000004;3.5;184.0;Pi?udskiego 105, 50-085 Wroc?w
Bistro Station;17.0355631;51.100165000000004;4.3;64.0;Pi?udskiego 98, 50-017 Wroc?w
Magia Smaku;17.0339772;51.100558899999996;3.9;28.0;Pi?udskiego 86A, 50-020 Wroc?w
Kawiarnia Europejska;17.034485500000002;51.100370700000006;3.8;18.0;Pi?udskiego 88, 50-017 Wroc?w
Abradable;17.036865300000002;51.101835200000004;4.0;310.0;Ko??aja 26, 50-007 Wroc?w
