nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Burger King;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;burgerking.pl;51.1180856;"16.9860123	";3,4;58;NaN;Wheelchair accessible entrance;NaN;dinner;NaN;Casual;Groups;debit card;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Ohh! Sushi&Grill;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;NaN;51.1181132;"16.985621	";3,4;27;NaN;Wheelchair accessible entrance;beer;NaN;NaN;Cosy, Casual;Groups;NaN;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;09:00:00;20:00:00;10:00:00;20:00:00;1
Express Oriental;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;https://www.facebook.com/expressorientalpl;51.1177562;"16.9861392	";4,1;32;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Casual;Groups;NaN;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;10:00:00;21:00:00;1
North Fish;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;northfish.pl;51.1177402;"16.9859041	";4,3;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Restauracja McDonald's;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;mcdonalds.pl;51.1179132;"16.9848825	";3,4;71;NaN;Wheelchair accessible toilet, Wheelchair accessible entrance;Kids' menu, Late-night food;dinner, supper,breakfast, dessert;do_karmienia, Good for kids, toilet;Casual;Groups;NFC,debit card;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
KFC;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w;kfc.pl;51.1178697;"16.9849923	";3,1;110;NaN;Wheelchair accessible entrance;Kids' menu, Late-night food;dinner, supper, dessert, delivery;do_karmienia, Good for kids, toilet;Casual;Groups;debit card;08:30:00;22:00:00;08:30:00;22:00:00;08:30:00;22:00:00;08:30:00;22:00:00;08:30:00;22:00:00;08:30:00;22:00:00;08:30:00;22:00:00;1
Petra Gyros;Legnicka 72, 54-206 Wroc?w;petra-gyros.pl;51.1225066;"16.9873525	";4,2;859;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Casual;Groups;NaN;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;12:00:00;21:00:00;1
Grill Kaufland;Legnicka 62A, 50-001 Wroc?w;NaN;51.1220241;"16.9866766	";4;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;20:00:00;09:00:00;19:00:00;1
Belek Kebab;Ma?panewska 2, 54-212 Wroc?w;https://www.facebook.com/BelekKebab;51.1227012;"16.9860126	";3,1;142;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual;Groups;NaN;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;11:00:00;22:00:00;0
Namaste Nepal;Legnicka 55A, 54-203 Wroc?w;namastenepal.pl;51.1238663;"16.9872802	";4;114;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Cosy, Casual;Groups;NaN;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;0
Pizzeria La Finezze;Jelenia 28, 54-242 Wroc?w;lafinezze.pl;51.1247713;"16.9946484	";4,2;158;NaN;NaN;vegan;delivery;NaN;Cosy, Casual;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Pierogarnia Kuchnia Polska;Popowicka 26, 54-237 Wroc?w;grillburger.com.pl;51.1257128;"16.9950231	";4,6;11;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual;NaN;NaN;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;1
Grillburger;Popowicka 26, 50-001 Wroc?w;grillburger.com.pl;51.1257907;"16.9950511	";4,1;467;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Cosy, Casual;Groups;NaN;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;11:00:00;21:30:00;1
